Depth,BW,PW,MH,Ratio,Stability,Label
64.79,5.37,13.03,3.08,4.23,Intact,I0
80.5,6.39,6.58,1.65,3.99,Intact,I1
54.6,6.37,5.67,1.6,3.54,Intact,I1
25.15,6.54,4.39,1.65,2.66,Intact,I0
35.73,6.12,5,1.73,2.89,Intact,I0
55.7,6.13,6.85,1.7,4.03,Intact,I0
52.5,6.38,5.66,1.7,3.33,Intact,I1
35.5,6.81,4.6,2,2.3,Intact,I1
40.33,6.52,4.53,1.83,2.48,Intact,I1
22.62,6.2,4.8,1.65,2.91,Intact,I0
28.75,6.08,5,2,2.5,Intact,I0
22.3,5.74,6.24,3.5,1.78,Intact,I0
37.7,5.94,7.05,3.06,2.3,Intact,I0
36.26,6.82,6.23,2.63,2.37,Intact,I0
50.17,7.04,5.85,2.6,2.25,Intact,I1
37.08,6.65,6.29,2.78,2.26,Intact,I1
61.1,6.61,7.08,4.49,1.58,Intact,I1
42,6.78,5.38,3.96,1.36,Intact,I1
39.33,6,8.05,2.68,3,Intact,I0
59.16,6.57,7.17,3.51,2.04,Intact,I1
64.24,5.05,5.59,1,5.59,Intact,I0
59.98,5.86,6.19,1.52,4.07,Intact,I0
17.91,5.62,4.31,1.71,2.52,Intact,I0
29.56,6,6.2,2.1,2.95,Intact,I0
45.72,5.18,5.49,1.83,3,Intact,I0
76.2,5.49,6.71,2.74,2.45,Intact,I1
85.34,5.49,8.23,3.2,2.57,Intact,I1
121.92,5.49,12.8,2.29,5.59,Intact,I0
97.54,5.49,9.75,3.2,3.05,Intact,I1
108,6,9,1.14,7.89,Intact,I0
108,6,9,1.1,8.18,Intact,I0
150,6,9,1.15,7.83,Intact,I0
208,6,17,1.2,14.17,Intact,I0
208,6,17,1.1,15.45,Intact,I0
166,6,17,1.48,11.49,Intact,I0
174,6,17,1.17,14.53,Intact,I0
64.47,6,9,1.89,4.76,Intact,I0
50,6,10,3.8,2.63,Intact,I0
34.6,5.6,12.21,3.4,3.59,Intact,I0
77.65,5.84,12,3.8,3.16,Intact,I0
55.75,6,10.28,2.8,3.67,Intact,I0
55.75,6,11,3,3.67,Intact,I0
79.92,6,9,2.9,3.1,Intact,I1
34.15,6,8,3,2.67,Intact,I0
36.53,6,7,3,2.33,Intact,I0
45.72,5.49,4.27,1.19,3.59,Intact,I0
68.58,5.49,5.18,1.19,4.35,Intact,I0
91.44,5.49,6.1,1.19,5.13,Intact,I0
76.2,6.1,7.62,1.37,5.56,Intact,I0
30.48,6.71,5.49,2.59,2.12,Intact,I1
63.64,6,14,3,4.67,Intact,I0
70.79,6,12,2.2,5.45,Intact,I0
118.62,6,15,3.5,4.29,Intact,I0
108.75,6,14,3,4.67,Intact,I0
53.86,6,7,5,1.4,Intact,I1
98.72,6,13,4,3.25,Intact,I1
170,6,22,2.6,8.46,Intact,I0
154,6.26,21.37,2.72,7.86,Intact,I0
171.7,6.81,21.19,2.9,7.31,Intact,I0
151,6.15,23.85,3.34,7.14,Intact,I0
137,5.84,21.82,2.84,7.68,Intact,I0
106,6.35,15.84,3.16,5.01,Intact,I0
