Depth,BW,PW,MH,Ratio,Stability,Relabel_3
59.98,5.86,6.19,1.52,4.072368421,Intact,Intact
17.91,5.62,4.31,1.71,2.520467836,Intact,Intact
29.56,6,6.2,2.1,2.952380952,Intact,Intact
45.72,5.18,5.49,1.83,3,Intact,Intact
108,6,9,1.1,8.181818182,Intact,Intact
174,6,17,1.17,14.52991453,Intact,Intact
64.47,6,9,1.89,4.761904762,Intact,Intact
50,6,10,3.8,2.631578947,Intact,Intact
34.6,5.6,12.21,3.4,3.591176471,Intact,Intact
55.75,6,10.28,2.8,3.671428571,Intact,Intact
55.75,6,11,3,3.666666667,Intact,Intact
34.15,6,8,3,2.666666667,Intact,Intact
36.53,6,7,3,2.333333333,Intact,Intact
45.72,5.49,4.27,1.19,3.588235294,Intact,Intact
76.2,6.1,7.62,1.37,5.562043796,Intact,Intact
30.48,6.71,5.49,2.59,2.11969112,Intact,Intact
63.64,6,14,3,4.666666667,Intact,Intact
70.79,6,12,2.2,5.454545455,Intact,Intact
60.96,5.49,9.75,2.29,4.257641921,Intact,Intact
114,5.49,12.8,1.98,6.464646465,Intact,Intact
91.44,5.49,12.8,2.07,6.183574879,Intact,Intact
114,5.49,17.37,1.98,8.772727273,Intact,Intact
39.62,6.1,6.1,2.59,2.355212355,Intact,Intact
62.48,6,10,2.2,4.545454545,Intact,Intact
62.48,6,15,2.1,7.142857143,Intact,Intact
62.48,6,9,2.25,4,Intact,Intact
70,6,15,3,5,Intact,Intact
40.07,6,8,3.2,2.5,Intact,Intact
40.07,6,7.5,3.2,2.34375,Intact,Intact
83.43,6,12,2.8,4.285714286,Intact,Intact
44.55,6,12,2.5,4.8,Intact,Intact
44.55,6,12,3,4,Intact,Intact
40.3,6,8,2.1,3.80952381,Intact,Intact
37.36,6,10,2.8,3.571428571,Intact,Intact
70.76,6,14,2.6,5.384615385,Intact,Intact
61.5,6,9.47,1.98,4.782828283,Intact,Intact
61.5,6,9.26,1.98,4.676767677,Intact,Intact
58.71,6,11,2.3,4.782608696,Intact,Intact
58.71,6,7,2,3.5,Intact,Intact
94.28,5,10,1.4,7.142857143,Intact,Intact
94.28,5,10,1.7,5.882352941,Intact,Intact
51.82,6.1,9.14,1.68,5.44047619,Intact,Intact
48.77,6.1,9.14,4.27,2.140515222,Intact,Intact
50,5.7,9.3,3.65,2.547945205,Intact,Intact
59.3,6,11,3.7,2.972972973,Intact,Intact
64.92,6,20.57,3.5,5.877142857,Intact,Intact
55,6.2,11.8,3.41,3.460410557,Intact,Intact
65,6.02,10.98,3.2,3.43125,Intact,Intact
51,6.11,8.89,3.27,2.718654434,Intact,Intact
68,6.34,11.66,3.4,3.429411765,Intact,Intact
46,6.4,8.6,3.55,2.422535211,Intact,Intact
74,5.69,11.31,3.41,3.316715543,Intact,Intact
68,6.13,10.87,3.37,3.225519288,Intact,Intact
54,6.08,8.92,3.58,2.491620112,Intact,Intact
93.8,6,14.92,3,4.973333333,Intact,Intact
36.58,4.88,7.32,1.83,4,Intact,Intact
