Depth,BW,PW,MH,Ratio,Label
83.43,6,12,2.8,4.285714286,I0
101.21,6,12,2.3,5.217391304,I0
114.35,6,12,2.3,5.217391304,I0
119.41,6,15,2.3,6.52173913,I0
114.3,6,12,2.6,4.615384615,I1
104.76,6,12,4.8,2.5,I1
130.75,6,15,2,7.5,I0
44.55,6,12,2.5,4.8,I0
44.55,6,12,3,4,I0
40.3,6,8,2.1,3.80952381,I0
37.36,6,10,2.8,3.571428571,I0
70.76,6,14,2.6,5.384615385,I0
44.55,6,6,3.3,1.818181818,I1
87.53,6,12,3.6,3.333333333,I0
90.22,6.71,8.53,2.9,2.94137931,I1
115.82,6.1,7.62,1.83,4.163934426,I1
84.84,6,7,2.26,3.097345133,I1
84.84,6,7,2.26,3.097345133,I1
84.84,6,7,2.26,3.097345133,I1
61.5,6,9.47,1.98,4.782828283,I0
61.5,6,9.26,1.98,4.676767677,I0
58.71,6,11,2.3,4.782608696,I0
58.71,6,7,2,3.5,I0
108.63,6,12.5,3.38,3.698224852,I1
108.63,6,18.5,3.65,5.068493151,I0
94.28,5,10,1.4,7.142857143,I0
94.28,5,10,1.7,5.882352941,I0
51.82,6.1,9.14,1.68,5.44047619,I0
64.01,7.62,7.62,3.05,2.498360656,I1
48.77,6.1,9.14,4.27,2.140515222,I0
108.51,6.71,8.53,2.29,3.72489083,I1
46.1,6.9,7.1,3.8,1.868421053,I1
50,5.7,9.3,3.65,2.547945205,I0
58.3,6,8.47,3.8,2.228947368,I1
59.3,6,11,3.7,2.972972973,I0
196,6,15,2.6,5.769230769,I1
64.92,6,20.57,3.5,5.877142857,I0
55,6.2,11.8,3.41,3.460410557,I0
65,6.02,10.98,3.2,3.43125,I0
51,6.11,8.89,3.27,2.718654434,I0
68,6.34,11.66,3.4,3.429411765,I0
46,6.4,8.6,3.55,2.422535211,I0
74,5.69,11.31,3.41,3.316715543,I0
68,6.13,10.87,3.37,3.225519288,I0
68,7.1,12.9,4.06,3.177339901,I0
54,6.08,8.92,3.58,2.491620112,I0
70,6.32,10.68,3.25,3.286153846,I0
49,6.43,8.57,3.69,2.322493225,I0
51,6.35,8.65,3.64,2.376373626,I0
72,7.11,12.89,4.15,3.106024096,I0
77,5.96,10.04,2.94,3.414965986,I0
57,6.65,9.35,3.65,2.561643836,I0
75,6.3,10.7,3.41,3.137829912,I0
78,6.3,10.7,3.35,3.194029851,I0
54,6.48,8.52,3.69,2.308943089,I1
56,6.41,8.59,3.63,2.366391185,I1
64.92,6,9,3.6,2.5,I1
73,6.37,10.63,3.85,2.761038961,I1
81,6.99,13.01,4.31,3.018561485,I1
64.92,6,9,3.72,2.419354839,I1
75,6.97,10.03,3.07,3.267100977,I1
84,7.03,12.97,4.31,3.009280742,I1
79,6.42,13.58,5.89,2.305602716,I1
74,7.1,9.9,3.33,2.972972973,I1
71,6.68,12.32,5.84,2.109589041,I1
73,6.79,10.21,3.93,2.597964377,I1
83,6.34,13.66,6.13,2.228384992,I1
75,5.97,11.03,5.5,2.005454545,I1
77,6.78,10.22,4.05,2.52345679,I1
71,6.3,10.7,5.5,1.945454545,I1
76,6.2,10.8,5.5,1.963636364,I1
66,7.08,10.92,6.45,1.693023256,I1
76,7.15,8.85,3.48,2.543103448,I1
77,7.19,9.81,4.86,2.018518519,I1
93.8,6,14,3.6,3.888888889,I0
93.8,6,14.92,3,4.973333333,I0
93.8,6,14.7,3.2,4.59375,I0
109,6.48,17.5,3.67,4.768392371,I0
106,7.5,16.47,3.5,4.705714286,I0
92.28,6.93,17.07,3.87,4.410852713,I0
122,6.71,21,3.29,6.382978723,I0
122,6.71,21.2,3.29,6.443768997,I0
97.54,6.1,9.14,3.2,2.85625,I1
106.68,6.1,15.24,4.88,3.12295082,I1
45.72,6.1,4.88,1.65,2.957575758,I1
60.96,6.1,4.88,1.55,3.148387097,I1
60.96,6.71,7.01,2.59,2.706563707,I1
30.48,5.49,2.74,1.55,1.767741935,I1
85.34,6.1,7.62,3.2,2.38125,I1
167.64,3.69,14.33,1.98,7.237373737,I0
108.51,6.71,7.62,2.29,3.327510917,I1
42.67,5.49,4.27,2.59,1.648648649,I1
140.21,5.49,17.37,2.44,7.118852459,I0
160.93,6.31,14.94,2.96,5.047297297,I1
180.44,5.97,15.24,2.99,5.096989967,I1
163.98,6.22,15,2.8,5.357142857,I1
146,5.49,16.46,2.41,6.829875519,I0
198.12,5.7,17.16,2.83,6.06360424,I1
182.88,5.49,15.85,4.88,3.24795082,I1
36.58,4.88,7.32,1.83,4,I0
91.44,6.1,7.62,1.68,4.535714286,I1
60.96,6.1,9.14,4.88,1.87295082,I1
76.2,6.1,10.67,4.88,2.18647541,I1
91.44,6.1,12.19,4.88,2.49795082,I1
45.72,6.1,6.1,3.05,2,I1
178.49,6,19,2.3,8.260869565,I0
195.15,6,20,2.1,9.523809524,I0
203.42,6,19,1.7,11.17647059,I0
203.42,6,19,1.7,11.17647059,I0
42.67,5.49,5.49,2.59,2.11969112,I0
91.44,6.1,6.1,1.68,3.630952381,I1
48.77,6.4,7.32,2.44,3,I0
83.92,6,11.47,3,3.823333333,I0
87.6,6,12,2.8,4.285714286,I0
45.72,6.1,6.1,3.96,1.54040404,I1
60.96,6.1,7.62,3.96,1.924242424,I1
45.72,6.1,6.1,1.68,3.630952381,I0
60.96,6.1,7.62,1.68,4.535714286,I0
76.2,6.1,9.14,3.96,2.308080808,I1
91.44,6.1,12.19,3.96,3.078282828,I1
76.2,6.1,9.14,1.68,5.44047619,I0
33.53,5.49,6.71,3.96,1.694444444,I0
115.82,6.1,9.14,1.83,4.994535519,I1
169,6.19,21.81,2.58,8.453488372,I0
70,6,12,2.6,4.615384615,I0
104,6,11,3,3.666666667,I1
110.5,5,12,2.8,4.285714286,I0
110.5,5,12,3,4,I0
70,5,20.57,2.6,7.911538462,I0
70,5,15.44,2.6,5.938461538,I0
93,6,10,2.9,3.448275862,I1
84,5.89,11,2.77,3.971119134,I0
84,5.89,11.5,2.77,4.151624549,I0
47.24,7.62,6.1,5.18,1.177606178,I1
64.01,6.25,6.1,3.44,1.773255814,I1
91.44,6.1,10.67,4.27,2.49882904,I1
38.1,5.49,4.27,1.52,2.809210526,I0
106.68,6.1,12.19,4.27,2.854800937,I1
88.39,6.1,9.14,3.05,2.996721311,I1
84.65,6,6,1.75,3.428571429,I1
85.34,6.1,7.62,3.05,2.498360656,I1
108.51,6.4,8.84,2.29,3.860262009,I1
79.4,6,24,3,8,I0
138.89,6,17.78,3,5.926666667,I0
138.89,6,31.06,3,10.35333333,I0
79.4,6,19.47,3,6.49,I0
60.96,6.71,7.01,3.35,2.092537313,I1
30.48,6.1,6.1,3.2,1.90625,I0
44.2,6.1,6.1,4.27,1.428571429,I1
42.8,6,7,2.2,3.181818182,I0
67.8,6,11,4,2.75,I0
67.8,6,11.73,4,2.9325,I0
36.3,6,8,3.7,2.162162162,I0
51.8,6.02,10.98,2.88,3.8125,I0
124.9,5.73,18.27,2.67,6.842696629,I0
110,6.18,17.82,3.46,5.150289017,I0
146.2,6.29,19.89,2.91,6.835051546,I0
68.9,6,12.9,3,4.3,I0
34.5,6.5,5.5,5.5,1,I1
33.8,6,8,2.4,3.333333333,I0
52.8,6,8,3,2.666666667,I0
38.37,6.4,8.1,5.9,1.372881356,I1
52.8,6,11.3,3,3.766666667,I0
45.72,6.1,6.1,4.57,1.334792123,I1
219.46,5.58,21.73,3.17,6.85488959,I1
76.2,6.1,7.62,4.57,1.667396061,I1
106.68,5.49,6.71,1.19,5.638655462,I1
182.88,5.94,16.92,2.44,6.93442623,I1
91.44,6.1,12.19,1.52,8.019736842,I0
35.05,5.49,9.75,2.44,3.995901639,I0
