Depth,PW,BW,MH,Stability,cluster,Label
28.75,5,6.08,2,Intact,0,I0
22.3,6.24,5.74,3.5,Intact,0,I0
37.7,7.05,5.94,3.06,Intact,0,I0
36.26,6.23,6.82,2.63,Intact,1,I1
50.17,5.85,7.04,2.6,Intact,1,I1
37.08,6.29,6.65,2.78,Intact,1,I1
61.1,7.08,6.61,4.49,Intact,1,I1
42,5.38,6.78,3.96,Intact,1,I1
39.33,8.05,6,2.68,Intact,0,I0
59.16,7.17,6.57,3.51,Intact,1,I1
64.24,5.59,5.05,1,Intact,0,I0
59.98,6.19,5.86,1.52,Intact,0,I0
17.91,4.31,5.62,1.71,Intact,0,I0
29.56,6.2,6,2.1,Intact,0,I0
45.72,5.49,5.18,1.83,Intact,0,I0
76.2,6.71,5.49,2.74,Intact,0,I0
85.34,8.23,5.49,3.2,Intact,0,I0
121.92,12.8,5.49,2.29,Intact,0,I0
97.54,9.75,5.49,3.2,Intact,0,I0
108,9,6,1.14,Intact,0,I0
108,9,6,1.1,Intact,0,I0
150,9,6,1.15,Intact,0,I0
208,17,6,1.2,Intact,0,I0
208,17,6,1.1,Intact,0,I0
166,17,6,1.48,Intact,0,I0
174,17,6,1.17,Intact,0,I0
64.47,9,6,1.89,Intact,0,I0
50,10,6,3.8,Intact,1,I1
34.6,12.21,5.6,3.4,Intact,0,I0
77.65,12,5.84,3.8,Intact,0,I0
55.75,10.28,6,2.8,Intact,0,I0
55.75,11,6,3,Intact,0,I0
79.92,9,6,2.9,Intact,0,I0
34.15,8,6,3,Intact,0,I0
36.53,7,6,3,Intact,0,I0
45.72,4.27,5.49,1.19,Intact,0,I0
68.58,5.18,5.49,1.19,Intact,0,I0
91.44,6.1,5.49,1.19,Intact,0,I0
76.2,7.62,6.1,1.37,Intact,0,I0
30.48,5.49,6.71,2.59,Intact,1,I1
63.64,14,6,3,Intact,0,I0
70.79,12,6,2.2,Intact,0,I0
118.62,15,6,3.5,Intact,0,I0
108.75,14,6,3,Intact,0,I0
53.86,7,6,5,Intact,1,I1
98.72,13,6,4,Intact,1,I1
170,22,6,2.6,Intact,0,I0
154,21.37,6.26,2.72,Intact,0,I0
171.7,21.19,6.81,2.9,Intact,0,I0
151,23.85,6.15,3.34,Intact,0,I0
137,21.82,5.84,2.84,Intact,0,I0
106,15.84,6.35,3.16,Intact,0,I0
91.44,6.1,6.1,1.52,Intact,0,I0
60.96,9.75,5.49,2.29,Intact,0,I0
114,12.8,5.49,1.98,Intact,0,I0
146.3,17.37,5.49,2.13,Intact,0,I0
91.44,12.8,5.49,2.07,Intact,0,I0
114,17.37,5.49,1.98,Intact,0,I0
106.68,9.14,6.1,1.68,Intact,0,I0
140.21,12.8,5.49,2.44,Intact,0,I0
93.88,9.75,5.49,1.98,Intact,0,I0
39.62,6.1,6.1,2.59,Intact,0,I0
91.44,6.1,6.1,1.55,Intact,0,I0
223.38,28,5,3.5,Intact,0,I0
173.22,25,5,4.2,Intact,0,I0
215.05,35,5,3,Intact,0,I0
254.45,35,5,4,Intact,0,I0
215.05,25,5,3,Intact,0,I0
62.48,10,6,2.2,Intact,0,I0
62.48,15,6,2.1,Intact,0,I0
62.48,9,6,2.25,Intact,0,I0
70,15,6,3,Intact,0,I0
122.17,12,6,2.8,Intact,0,I0
122,15.4,6.6,2.5,Intact,0,I0
122,15.4,6.6,2.5,Intact,0,I0
94,10.22,6.78,3,Intact,1,I1
94,10.2,6.8,2.8,Intact,1,I1
45.72,6.1,6.1,2.9,Intact,0,I0
60.96,7.62,6.1,2.9,Intact,0,I0
76.2,9.14,6.1,2.9,Intact,0,I0
91.44,10.67,6.1,2.9,Intact,0,I0
40.07,8,6,3.2,Intact,0,I0
40.07,7.5,6,3.2,Intact,0,I0
56.11,7.5,6,3.5,Intact,1,I1
111.91,13.4,6,3,Intact,0,I0
121.02,13,6,3.5,Intact,0,I0
143.26,12.8,5.49,1.68,Intact,0,I0
140.72,15,6,2.7,Intact,0,I0
83.43,12,6,2.8,Intact,0,I0
101.21,12,6,2.3,Intact,0,I0
114.35,12,6,2.3,Intact,0,I0
119.41,15,6,2.3,Intact,0,I0
114.3,12,6,2.6,Intact,0,I0
104.76,12,6,4.8,Intact,1,I1
130.75,15,6,2,Intact,0,I0
44.55,12,6,2.5,Intact,0,I0
44.55,12,6,3,Intact,0,I0
40.3,8,6,2.1,Intact,0,I0
37.36,10,6,2.8,Intact,0,I0
70.76,14,6,2.6,Intact,0,I0
44.55,6,6,3.3,Intact,1,I1
87.53,12,6,3.6,Intact,1,I1
90.22,8.53,6.71,2.9,Intact,1,I1
115.82,7.62,6.1,1.83,Intact,0,I0
84.84,7,6,2.26,Intact,0,I0
84.84,7,6,2.26,Intact,0,I0
84.84,7,6,2.26,Intact,0,I0
61.5,9.47,6,1.98,Intact,0,I0
61.5,9.26,6,1.98,Intact,0,I0
58.71,11,6,2.3,Intact,0,I0
58.71,7,6,2,Intact,0,I0
108.63,12.5,6,3.38,Intact,0,I0
108.63,18.5,6,3.65,Intact,0,I0
94.28,10,5,1.4,Intact,0,I0
94.28,10,5,1.7,Intact,0,I0
51.82,9.14,6.1,1.68,Intact,0,I0
64.01,7.62,7.62,3.05,Intact,1,I1
48.77,9.14,6.1,4.27,Intact,1,I1
108.51,8.53,6.71,2.29,Intact,0,I0
46.1,7.1,6.9,3.8,Intact,1,I1
50,9.3,5.7,3.65,Intact,0,I0
58.3,8.47,6,3.8,Intact,1,I1
59.3,11,6,3.7,Intact,1,I1
196,15,6,2.6,Intact,0,I0
64.92,20.57,6,3.5,Intact,0,I0
55,11.8,6.2,3.41,Intact,1,I1
65,10.98,6.02,3.2,Intact,0,I0
51,8.89,6.11,3.27,Intact,1,I1
68,11.66,6.34,3.4,Intact,1,I1
46,8.6,6.4,3.55,Intact,1,I1
74,11.31,5.69,3.41,Intact,0,I0
68,10.87,6.13,3.37,Intact,1,I1
