Depth,PW,BW,MH,Stability
61,6.1,7.62,3.05,Failed
57.9,6.1,7.62,3.96,Failed
41.1,4.27,6.4,3.05,Failed
25.9,3.66,8.53,3.05,Failed
21.3,3.96,8.23,4.57,Failed
29.6,5.18,7.01,5.49,Failed
27.4,3.66,7.92,2.13,Failed
36.6,4.57,7.62,2.44,Failed
33.5,6.1,6.71,5.49,Failed
30.5,4.57,7.62,3.66,Failed
53.3,5.18,6.4,3.66,Failed
68.6,3.35,5.79,1.52,Failed
88.4,7.16,6.55,4.88,Failed
57.9,5.18,6.4,5.49,Failed
61,4.72,6.86,3.51,Failed
30.5,3.35,6.4,2.59,Failed
36.2,5.7,6.27,3.8,Intact
39.95,6.89,6.08,3.7,Intact
55.2,8.98,6.96,3.95,Intact
30.35,8.96,6.06,3.85,Intact
41.35,8,5.98,3.6,Intact
57.34,9.07,5.99,3.84,Intact
63.15,8.02,6.11,1.65,Intact
40.86,7.55,7.63,2.92,Intact
30.55,8.07,7.11,3.2,Intact
49.82,7.63,7.67,3.05,Intact
47.07,8.29,6.89,3.37,Intact
66.95,7.77,7.5,3,Intact
25.98,3.11,5.53,1.34,Intact
26.83,2.91,5.09,1.33,Intact
42 .61,4.38,5.07,1.61,Intact
23,4,5.68,1.58,Intact
23.76,4.3,5.21,1.5,Intact
23.54,4.24,5.38,1.54,Intact
26.75,4.54,4.97,1.65,Intact
19.4,4.26,5.22,1.4,Intact
20.8,4.24,5.18,1.38,Intact
23.33,4.37,5.08,1.33,Intact
58.89,8.06,5.7,3,Intact
96.2,8.06,5.77,3.1,Intact
33.94,8.17,5.52,2.38,Intact
39.1,6.63,6.36,2.6,Intact
36.5,7.25,6.3,2.68,Intact
24.15,6.1,6.25,2.65,Intact
25.7,6.15,6.17,2.6,Intact
18.58,4.86,6.16,2.78,Intact
21.5,5.09,5.96,2.75,Intact
44.95,5.03,6.01,2.68,Intact
26.51,4.32,6.68,2.65,Intact
97.27,8.63,6.04,1.37,Intact
165.45,11.66,6.32,1.45,Intact
167.68,12.98,6.43,1.45,Intact
183.83,12.99,6.93,1.23,Intact
54,6,6.54,1.2,Intact
112,17,5.5,1.05,Intact
98.15,12.56,5.23,2.65,Intact
64.79,13.03,5.37,3.08,Intact
80.5,6.58,6.39,1.65,Intact
54.6,5.67,6.37,1.6,Intact
25.15,4.39,6.54,1.65,Intact
35.73,5,6.12,1.73,Intact
55.7,6.85,6.13,1.7,Intact
52.5,5.66,6.38,1.7,Intact
35.5,4.6,6.81,2,Intact
40.33,4.53,6.52,1.83,Intact
22.62,4.8,6.2,1.65,Intact
28.75,5,6.08,2,Intact
22.3,6.24,5.74,3.5,Intact
37.7,7.05,5.94,3.06,Intact
36.26,6.23,6.82,2.63,Intact
50.17,5.85,7.04,2.6,Intact
37.08,6.29,6.65,2.78,Intact
61.1,7.08,6.61,4.49,Intact
42,5.38,6.78,3.96,Intact
39.33,8.05,6,2.68,Intact
59.16,7.17,6.57,3.51,Intact
64.24,5.59,5.05,1,Intact
59.98,6.19,5.86,1.52,Intact
17.91,4.31,5.62,1.71,Intact
29.56,6.2,6,2.1,Intact
45.72,5.49,5.18,1.83,Intact
76.2,6.71,5.49,2.74,Intact
85.34,8.23,5.49,3.2,Intact
121.92,12.8,5.49,2.29,Intact
97.54,9.75,5.49,3.2,Intact
108,9,6,1.14,Intact
108,9,6,1.1,Intact
150,9,6,1.15,Intact
208,17,6,1.2,Intact
208,17,6,1.1,Intact
166,17,6,1.48,Intact
174,17,6,1.17,Intact
64.47,9,6,1.89,Intact
50,10,6,3.8,Intact
34.6,12.21,5.6,3.4,Intact
77.65,12,5.84,3.8,Intact
