,Depth,PW,BW,MH,Stability,cluster
132,52.5,5.66,6.38,1.7,Intact,0
133,35.5,4.6,6.81,2.0,Intact,0
134,40.33,4.53,6.52,1.83,Intact,0
135,22.62,4.8,6.2,1.65,Intact,0
136,28.75,5.0,6.08,2.0,Intact,0
137,22.3,6.24,5.74,3.5,Intact,0
138,37.7,7.05,5.94,3.06,Intact,0
139,36.26,6.23,6.82,2.63,Intact,1
140,50.17,5.85,7.04,2.6,Intact,1
141,37.08,6.29,6.65,2.78,Intact,1
142,61.1,7.08,6.61,4.49,Intact,1
143,42.0,5.38,6.78,3.96,Intact,1
144,39.33,8.05,6.0,2.68,Intact,0
145,59.16,7.17,6.57,3.51,Intact,1
146,64.24,5.59,5.05,1.0,Intact,0
147,59.98,6.19,5.86,1.52,Intact,0
148,17.91,4.31,5.62,1.71,Intact,0
149,29.56,6.2,6.0,2.1,Intact,0
150,45.72,5.49,5.18,1.83,Intact,0
151,76.2,6.71,5.49,2.74,Intact,0
152,85.34,8.23,5.49,3.2,Intact,0
153,121.92,12.8,5.49,2.29,Intact,2
154,97.54,9.75,5.49,3.2,Intact,0
155,108.0,9.0,6.0,1.14,Intact,0
156,108.0,9.0,6.0,1.1,Intact,0
157,150.0,9.0,6.0,1.15,Intact,0
158,208.0,17.0,6.0,1.2,Intact,2
159,208.0,17.0,6.0,1.1,Intact,2
160,166.0,17.0,6.0,1.48,Intact,2
161,174.0,17.0,6.0,1.17,Intact,2
162,64.47,9.0,6.0,1.89,Intact,0
163,50.0,10.0,6.0,3.8,Intact,1
164,34.6,12.21,5.6,3.4,Intact,2
165,77.65,12.0,5.84,3.8,Intact,2
166,55.75,10.28,6.0,2.8,Intact,0
167,55.75,11.0,6.0,3.0,Intact,2
168,79.92,9.0,6.0,2.9,Intact,0
169,34.15,8.0,6.0,3.0,Intact,0
170,36.53,7.0,6.0,3.0,Intact,0
171,45.72,4.27,5.49,1.19,Intact,0
172,68.58,5.18,5.49,1.19,Intact,0
173,91.44,6.1,5.49,1.19,Intact,0
174,76.2,7.62,6.1,1.37,Intact,0
175,30.48,5.49,6.71,2.59,Intact,1
176,63.64,14.0,6.0,3.0,Intact,2
177,70.79,12.0,6.0,2.2,Intact,0
178,118.62,15.0,6.0,3.5,Intact,2
179,108.75,14.0,6.0,3.0,Intact,2
180,53.86,7.0,6.0,5.0,Intact,1
181,98.72,13.0,6.0,4.0,Intact,2
182,170.0,22.0,6.0,2.6,Intact,2
183,154.0,21.37,6.26,2.72,Intact,2
184,171.7,21.19,6.81,2.9,Intact,2
185,151.0,23.85,6.15,3.34,Intact,2
186,137.0,21.82,5.84,2.84,Intact,2
187,106.0,15.84,6.35,3.16,Intact,2
188,91.44,6.1,6.1,1.52,Intact,0
189,60.96,9.75,5.49,2.29,Intact,0
190,114.0,12.8,5.49,1.98,Intact,2
191,146.3,17.37,5.49,2.13,Intact,2
192,91.44,12.8,5.49,2.07,Intact,2
193,114.0,17.37,5.49,1.98,Intact,2
194,106.68,9.14,6.1,1.68,Intact,0
195,140.21,12.8,5.49,2.44,Intact,2
196,93.88,9.75,5.49,1.98,Intact,0
197,39.62,6.1,6.1,2.59,Intact,0
198,91.44,6.1,6.1,1.55,Intact,0
199,223.38,28.0,5.0,3.5,Intact,2
200,173.22,25.0,5.0,4.2,Intact,2
201,215.05,35.0,5.0,3.0,Intact,2
202,254.45,35.0,5.0,4.0,Intact,2
203,215.05,25.0,5.0,3.0,Intact,2
204,62.48,10.0,6.0,2.2,Intact,0
205,62.48,15.0,6.0,2.1,Intact,2
206,62.48,9.0,6.0,2.25,Intact,0
207,70.0,15.0,6.0,3.0,Intact,2
208,122.17,12.0,6.0,2.8,Intact,2
209,122.0,15.4,6.6,2.5,Intact,2
210,122.0,15.4,6.6,2.5,Intact,2
211,94.0,10.22,6.78,3.0,Intact,1
212,94.0,10.2,6.8,2.8,Intact,1
213,45.72,6.1,6.1,2.9,Intact,0
214,60.96,7.62,6.1,2.9,Intact,0
215,76.2,9.14,6.1,2.9,Intact,0
216,91.44,10.67,6.1,2.9,Intact,0
217,40.07,8.0,6.0,3.2,Intact,0
218,40.07,7.5,6.0,3.2,Intact,0
219,56.11,7.5,6.0,3.5,Intact,1
220,111.91,13.4,6.0,3.0,Intact,2
221,121.02,13.0,6.0,3.5,Intact,2
222,143.26,12.8,5.49,1.68,Intact,0
223,140.72,15.0,6.0,2.7,Intact,2
224,83.43,12.0,6.0,2.8,Intact,2
225,101.21,12.0,6.0,2.3,Intact,0
226,114.35,12.0,6.0,2.3,Intact,0
227,119.41,15.0,6.0,2.3,Intact,2
228,114.3,12.0,6.0,2.6,Intact,2
229,104.76,12.0,6.0,4.8,Intact,1
230,130.75,15.0,6.0,2.0,Intact,2
231,44.55,12.0,6.0,2.5,Intact,2
232,44.55,12.0,6.0,3.0,Intact,2
233,40.3,8.0,6.0,2.1,Intact,0
234,37.36,10.0,6.0,2.8,Intact,0
235,70.76,14.0,6.0,2.6,Intact,2
236,44.55,6.0,6.0,3.3,Intact,0
237,87.53,12.0,6.0,3.6,Intact,2
238,90.22,8.53,6.71,2.9,Intact,1
239,115.82,7.62,6.1,1.83,Intact,0
240,84.84,7.0,6.0,2.26,Intact,0
241,84.84,7.0,6.0,2.26,Intact,0
242,84.84,7.0,6.0,2.26,Intact,0
243,61.5,9.47,6.0,1.98,Intact,0
244,61.5,9.26,6.0,1.98,Intact,0
245,58.71,11.0,6.0,2.3,Intact,0
246,58.71,7.0,6.0,2.0,Intact,0
247,108.63,12.5,6.0,3.38,Intact,2
248,108.63,18.5,6.0,3.65,Intact,2
249,94.28,10.0,5.0,1.4,Intact,0
250,94.28,10.0,5.0,1.7,Intact,0
251,51.82,9.14,6.1,1.68,Intact,0
252,64.01,7.62,7.62,3.05,Intact,1
253,48.77,9.14,6.1,4.27,Intact,1
254,108.51,8.53,6.71,2.29,Intact,0
255,46.1,7.1,6.9,3.8,Intact,1
256,50.0,9.3,5.7,3.65,Intact,0
257,58.3,8.47,6.0,3.8,Intact,1
258,59.3,11.0,6.0,3.7,Intact,1
259,196.0,15.0,6.0,2.6,Intact,2
260,64.92,20.57,6.0,3.5,Intact,2
261,55.0,11.8,6.2,3.41,Intact,1
262,65.0,10.98,6.02,3.2,Intact,2
263,51.0,8.89,6.11,3.27,Intact,1
264,68.0,11.66,6.34,3.4,Intact,1
265,46.0,8.6,6.4,3.55,Intact,1
266,74.0,11.31,5.69,3.41,Intact,2
267,68.0,10.87,6.13,3.37,Intact,1
268,68.0,12.9,7.1,4.06,Intact,1
269,54.0,8.92,6.08,3.58,Intact,1
270,70.0,10.68,6.32,3.25,Intact,1
271,49.0,8.57,6.43,3.69,Intact,1
272,51.0,8.65,6.35,3.64,Intact,1
273,72.0,12.89,7.11,4.15,Intact,1
274,77.0,10.04,5.96,2.94,Intact,0
275,57.0,9.35,6.65,3.65,Intact,1
276,75.0,10.7,6.3,3.41,Intact,1
277,78.0,10.7,6.3,3.35,Intact,1
278,54.0,8.52,6.48,3.69,Intact,1
279,56.0,8.59,6.41,3.63,Intact,1
280,64.92,9.0,6.0,3.6,Intact,1
281,73.0,10.63,6.37,3.85,Intact,1
282,81.0,13.01,6.99,4.31,Intact,1
283,64.92,9.0,6.0,3.72,Intact,1
284,75.0,10.03,6.97,3.07,Intact,1
285,84.0,12.97,7.03,4.31,Intact,1
286,79.0,13.58,6.42,5.89,Intact,1
287,74.0,9.9,7.1,3.33,Intact,1
288,71.0,12.32,6.68,5.84,Intact,1
289,73.0,10.21,6.79,3.93,Intact,1
290,83.0,13.66,6.34,6.13,Intact,1
291,75.0,11.03,5.97,5.5,Intact,1
292,77.0,10.22,6.78,4.05,Intact,1
293,71.0,10.7,6.3,5.5,Intact,1
294,76.0,10.8,6.2,5.5,Intact,1
295,66.0,10.92,7.08,6.45,Intact,1
296,76.0,8.85,7.15,3.48,Intact,1
297,77.0,9.81,7.19,4.86,Intact,1
298,93.8,14.0,6.0,3.6,Intact,2
299,93.8,14.92,6.0,3.0,Intact,2
300,93.8,14.7,6.0,3.2,Intact,2
301,109.0,17.5,6.48,3.67,Intact,2
302,106.0,16.47,7.5,3.5,Intact,1
303,92.28,17.07,6.93,3.87,Intact,1
304,122.0,21.0,6.71,3.29,Intact,2
305,122.0,21.2,6.71,3.29,Intact,2
306,97.54,9.14,6.1,3.2,Intact,1
307,106.68,15.24,6.1,4.88,Intact,2
308,45.72,4.88,6.1,1.65,Intact,0
309,60.96,4.88,6.1,1.55,Intact,0
310,60.96,7.01,6.71,2.59,Intact,1
311,30.48,2.74,5.49,1.55,Intact,0
312,85.34,7.62,6.1,3.2,Intact,0
313,167.64,14.33,3.69,1.98,Intact,2
314,108.51,7.62,6.71,2.29,Intact,0
315,42.67,4.27,5.49,2.59,Intact,0
316,140.21,17.37,5.49,2.44,Intact,2
317,160.93,14.94,6.31,2.96,Intact,2
318,180.44,15.24,5.97,2.99,Intact,2
319,163.98,15.0,6.22,2.8,Intact,2
320,146.0,16.46,5.49,2.41,Intact,2
321,198.12,17.16,5.7,2.83,Intact,2
322,182.88,15.85,5.49,4.88,Intact,2
323,36.58,7.32,4.88,1.83,Intact,0
324,91.44,7.62,6.1,1.68,Intact,0
325,60.96,9.14,6.1,4.88,Intact,1
326,76.2,10.67,6.1,4.88,Intact,1
327,91.44,12.19,6.1,4.88,Intact,1
328,45.72,6.1,6.1,3.05,Intact,0
329,178.49,19.0,6.0,2.3,Intact,2
330,195.15,20.0,6.0,2.1,Intact,2
331,203.42,19.0,6.0,1.7,Intact,2
332,203.42,19.0,6.0,1.7,Intact,2
333,42.67,5.49,5.49,2.59,Intact,0
334,91.44,6.1,6.1,1.68,Intact,0
335,48.77,7.32,6.4,2.44,Intact,0
336,83.92,11.47,6.0,3.0,Intact,2
337,87.6,12.0,6.0,2.8,Intact,2
338,45.72,6.1,6.1,3.96,Intact,1
339,60.96,7.62,6.1,3.96,Intact,1
340,45.72,6.1,6.1,1.68,Intact,0
341,60.96,7.62,6.1,1.68,Intact,0
342,76.2,9.14,6.1,3.96,Intact,1
343,91.44,12.19,6.1,3.96,Intact,1
344,76.2,9.14,6.1,1.68,Intact,0
345,33.53,6.71,5.49,3.96,Intact,0
346,115.82,9.14,6.1,1.83,Intact,0
347,169.0,21.81,6.19,2.58,Intact,2
348,70.0,12.0,6.0,2.6,Intact,2
349,104.0,11.0,6.0,3.0,Intact,2
350,110.5,12.0,5.0,2.8,Intact,2
351,110.5,12.0,5.0,3.0,Intact,2
352,70.0,20.57,5.0,2.6,Intact,2
353,70.0,15.44,5.0,2.6,Intact,2
354,93.0,10.0,6.0,2.9,Intact,0
355,84.0,11.0,5.89,2.77,Intact,0
356,84.0,11.5,5.89,2.77,Intact,2
357,47.24,6.1,7.62,5.18,Intact,1
358,64.01,6.1,6.25,3.44,Intact,1
359,91.44,10.67,6.1,4.27,Intact,1
360,38.1,4.27,5.49,1.52,Intact,0
361,106.68,12.19,6.1,4.27,Intact,1
362,88.39,9.14,6.1,3.05,Intact,0
363,84.65,6.0,6.0,1.75,Intact,0
364,85.34,7.62,6.1,3.05,Intact,0
365,108.51,8.84,6.4,2.29,Intact,0
366,79.4,24.0,6.0,3.0,Intact,2
367,138.89,17.78,6.0,3.0,Intact,2
368,138.89,31.06,6.0,3.0,Intact,2
369,79.4,19.47,6.0,3.0,Intact,2
370,60.96,7.01,6.71,3.35,Intact,1
371,30.48,6.1,6.1,3.2,Intact,0
372,44.2,6.1,6.1,4.27,Intact,1
373,42.8,7.0,6.0,2.2,Intact,0
374,67.8,11.0,6.0,4.0,Intact,1
375,67.8,11.73,6.0,4.0,Intact,1
376,36.3,8.0,6.0,3.7,Intact,1
377,51.8,10.98,6.02,2.88,Intact,0
378,124.9,18.27,5.73,2.67,Intact,2
379,110.0,17.82,6.18,3.46,Intact,2
380,146.2,19.89,6.29,2.91,Intact,2
381,68.9,12.9,6.0,3.0,Intact,2
382,34.5,5.5,6.5,5.5,Intact,1
383,33.8,8.0,6.0,2.4,Intact,0
384,52.8,8.0,6.0,3.0,Intact,0
385,38.37,8.1,6.4,5.9,Intact,1
386,52.8,11.3,6.0,3.0,Intact,2
387,45.72,6.1,6.1,4.57,Intact,1
388,219.46,21.73,5.58,3.17,Intact,2
389,76.2,7.62,6.1,4.57,Intact,1
390,106.68,6.71,5.49,1.19,Intact,0
391,182.88,16.92,5.94,2.44,Intact,2
392,91.44,12.19,6.1,1.52,Intact,0
393,35.05,9.75,5.49,2.44,Intact,0
394,50.6,6.1,6.1,1.37,Intact,0
395,76.2,9.14,6.1,1.37,Intact,0
396,35.05,7.32,4.88,2.59,Intact,0
397,42.0,5.0,10.0,1.8,Intact,1
398,36.0,5.0,7.0,2.4,Intact,1
399,38.0,5.0,7.0,1.8,Intact,0
400,22.0,6.0,6.0,1.5,Intact,0
401,36.58,6.1,6.1,3.66,Intact,1
402,51.82,7.62,6.1,3.66,Intact,1
403,137.16,12.8,5.49,3.66,Intact,2
404,91.44,9.14,6.1,4.57,Intact,1
405,45.72,7.62,6.1,4.88,Intact,1
406,19.81,7.62,6.1,3.2,Intact,0
407,29.77,14.0,5.0,3.0,Intact,2
408,58.53,11.42,6.0,3.5,Intact,2
409,58.53,14.0,6.0,3.5,Intact,2
410,42.59,15.0,6.0,3.7,Intact,2
411,13.22,8.0,6.0,2.6,Intact,0
412,65.78,10.0,5.0,2.2,Intact,0
413,54.65,10.0,5.0,2.2,Intact,0
414,54.99,9.47,5.0,3.0,Intact,0
415,45.72,6.55,6.4,3.51,Intact,1
416,82.0,12.0,6.0,3.0,Intact,2
417,70.1,12.0,6.0,3.35,Intact,2
418,21.34,6.1,6.71,2.74,Intact,1
419,30.48,6.4,6.4,3.66,Intact,1
420,41.15,6.4,6.4,1.98,Intact,0
421,78.54,14.0,6.0,2.7,Intact,2
422,78.54,14.0,6.0,2.4,Intact,2
