Depth,BW,PW,MH,Ratio,Stability
70,6.32,10.68,3.25,3.286153846,Intact
49,6.43,8.57,3.69,2.322493225,Intact
51,6.35,8.65,3.64,2.376373626,Intact
72,7.11,12.89,4.15,3.106024096,Intact
77,5.96,10.04,2.94,3.414965986,Intact
57,6.65,9.35,3.65,2.561643836,Intact
75,6.3,10.7,3.41,3.137829912,Intact
78,6.3,10.7,3.35,3.194029851,Intact
54,6.48,8.52,3.69,2.308943089,Intact
56,6.41,8.59,3.63,2.366391185,Intact
64.92,6,9,3.6,2.5,Intact
73,6.37,10.63,3.85,2.761038961,Intact
81,6.99,13.01,4.31,3.018561485,Intact
64.92,6,9,3.72,2.419354839,Intact
75,6.97,10.03,3.07,3.267100977,Intact
84,7.03,12.97,4.31,3.009280742,Intact
79,6.42,13.58,5.89,2.305602716,Intact
74,7.1,9.9,3.33,2.972972973,Intact
71,6.68,12.32,5.84,2.109589041,Intact
73,6.79,10.21,3.93,2.597964377,Intact
83,6.34,13.66,6.13,2.228384992,Intact
75,5.97,11.03,5.5,2.005454545,Intact
77,6.78,10.22,4.05,2.52345679,Intact
71,6.3,10.7,5.5,1.945454545,Intact
76,6.2,10.8,5.5,1.963636364,Intact
66,7.08,10.92,6.45,1.693023256,Intact
76,7.15,8.85,3.48,2.543103448,Intact
77,7.19,9.81,4.86,2.018518519,Intact
93.8,6,14,3.6,3.888888889,Intact
93.8,6,14.92,3,4.973333333,Intact
93.8,6,14.7,3.2,4.59375,Intact
109,6.48,17.5,3.67,4.768392371,Intact
106,7.5,16.47,3.5,4.705714286,Intact
92.28,6.93,17.07,3.87,4.410852713,Intact
122,6.71,21,3.29,6.382978723,Intact
122,6.71,21.2,3.29,6.443768997,Intact
97.54,6.1,9.14,3.2,2.85625,Intact
106.68,6.1,15.24,4.88,3.12295082,Intact
45.72,6.1,4.88,1.65,2.957575758,Intact
60.96,6.1,4.88,1.55,3.148387097,Intact
60.96,6.71,7.01,2.59,2.706563707,Intact
30.48,5.49,2.74,1.55,1.767741935,Intact
85.34,6.1,7.62,3.2,2.38125,Intact
167.64,3.69,14.33,1.98,7.237373737,Intact
108.51,6.71,7.62,2.29,3.327510917,Intact
42.67,5.49,4.27,2.59,1.648648649,Intact
140.21,5.49,17.37,2.44,7.118852459,Intact
160.93,6.31,14.94,2.96,5.047297297,Intact
180.44,5.97,15.24,2.99,5.096989967,Intact
163.98,6.22,15,2.8,5.357142857,Intact
