Depth,PW,BW,MH,Ratio,Stability,cluster,Label
39.1,6.63,6.36,2.6,2.55,Intact,0,I0
36.5,7.25,6.3,2.68,2.705223881,Intact,0,I0
24.15,6.1,6.25,2.65,2.301886792,Intact,0,I0
25.7,6.15,6.17,2.6,2.365384615,Intact,0,I0
18.58,4.86,6.16,2.78,1.748201439,Intact,0,I0
21.5,5.09,5.96,2.75,1.850909091,Intact,0,I0
44.95,5.03,6.01,2.68,1.876865672,Intact,0,I0
26.51,4.32,6.68,2.65,1.630188679,Intact,1,I1
97.27,8.63,6.04,1.37,6.299270073,Intact,0,I0
165.45,11.66,6.32,1.45,8.04137931,Intact,0,I0
167.68,12.98,6.43,1.45,8.951724138,Intact,0,I0
183.83,12.99,6.93,1.23,10.56097561,Intact,0,I0
54,6,6.54,1.2,5,Intact,0,I0
112,17,5.5,1.05,16.19047619,Intact,0,I0
98.15,12.56,5.23,2.65,4.739622642,Intact,0,I0
64.79,13.03,5.37,3.08,4.230519481,Intact,0,I0
80.5,6.58,6.39,1.65,3.987878788,Intact,0,I0
54.6,5.67,6.37,1.6,3.54375,Intact,0,I0
25.15,4.39,6.54,1.65,2.660606061,Intact,0,I0
35.73,5,6.12,1.73,2.89017341,Intact,0,I0
55.7,6.85,6.13,1.7,4.029411765,Intact,0,I0
52.5,5.66,6.38,1.7,3.329411765,Intact,0,I0
35.5,4.6,6.81,2,2.3,Intact,1,I1
40.33,4.53,6.52,1.83,2.475409836,Intact,0,I0
22.62,4.8,6.2,1.65,2.909090909,Intact,0,I0
28.75,5,6.08,2,2.5,Intact,0,I0
22.3,6.24,5.74,3.5,1.782857143,Intact,0,I0
37.7,7.05,5.94,3.06,2.303921569,Intact,0,I0
36.26,6.23,6.82,2.63,2.368821293,Intact,1,I1
50.17,5.85,7.04,2.6,2.25,Intact,1,I1
37.08,6.29,6.65,2.78,2.262589928,Intact,1,I1
61.1,7.08,6.61,4.49,1.576837416,Intact,1,I1
42,5.38,6.78,3.96,1.358585859,Intact,1,I1
39.33,8.05,6,2.68,3.003731343,Intact,0,I0
59.16,7.17,6.57,3.51,2.042735043,Intact,1,I1
64.24,5.59,5.05,1,5.59,Intact,0,I0
59.98,6.19,5.86,1.52,4.072368421,Intact,0,I0
17.91,4.31,5.62,1.71,2.520467836,Intact,0,I0
29.56,6.2,6,2.1,2.952380952,Intact,0,I0
45.72,5.49,5.18,1.83,3,Intact,0,I0
76.2,6.71,5.49,2.74,2.448905109,Intact,0,I0
85.34,8.23,5.49,3.2,2.571875,Intact,0,I0
121.92,12.8,5.49,2.29,5.589519651,Intact,0,I0
97.54,9.75,5.49,3.2,3.046875,Intact,0,I0
